id,difficulty,method,representation_valid,sql_valid,execution_match,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_seconds,prediction_chars,error,prediction,converted_sql
q001,simple,direct_sql,True,True,True,284,92,0,376,6.042241900002409,100,,"SELECT c.customer_name, c.city\nFROM customers c\nWHERE c.level = 'gold'\nORDER BY c.customer_name ASC;","SELECT c.customer_name, c.city\nFROM customers c\nWHERE c.level = 'gold'\nORDER BY c.customer_name ASC;"
q002,simple,direct_sql,True,True,False,283,130,64,413,6.048056399999041,98,execution result mismatch,"SELECT c.customer_name, c.level\nFROM customers c\nWHERE c.city = '北京'\nORDER BY c.customer_name ASC;","SELECT c.customer_name, c.level\nFROM customers c\nWHERE c.city = '北京'\nORDER BY c.customer_name ASC;"
q003,simple,direct_sql,True,True,False,288,127,64,415,5.038034099998185,108,execution result mismatch,"SELECT p.product_name, p.category, p.price\nFROM products p\nWHERE p.price > 1000\nORDER BY p.product_name ASC;","SELECT p.product_name, p.category, p.price\nFROM products p\nWHERE p.price > 1000\nORDER BY p.product_name ASC;"
q004,simple,direct_sql,True,True,False,288,335,256,623,5.9166366000026756,130,execution result mismatch,"SELECT o.order_id, o.order_date\nFROM orders o\nWHERE o.status = 'paid'\n  AND o.order_date > '2025-03-31'\nORDER BY o.order_date ASC;","SELECT o.order_id, o.order_date\nFROM orders o\nWHERE o.status = 'paid'\n  AND o.order_date > '2025-03-31'\nORDER BY o.order_date ASC;"
q005,simple,direct_sql,True,True,False,291,179,128,470,4.020280100001401,116,execution result mismatch,"SELECT oi.item_id, oi.product_id, oi.quantity\nFROM order_items oi\nWHERE oi.unit_price < 200\nORDER BY oi.item_id ASC;","SELECT oi.item_id, oi.product_id, oi.quantity\nFROM order_items oi\nWHERE oi.unit_price < 200\nORDER BY oi.item_id ASC;"
q006,simple,direct_sql,True,True,False,280,229,192,509,4.0838975999977265,103,execution result mismatch,"SELECT p.product_id, p.product_name, p.category, p.price\nFROM products p\nORDER BY p.price DESC\nLIMIT 2;","SELECT p.product_id, p.product_name, p.category, p.price\nFROM products p\nORDER BY p.price DESC\nLIMIT 2;"
q007,medium,direct_sql,True,True,False,296,351,256,647,6.039502300001914,292,execution result mismatch,"SELECT c.customer_name, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE c.city = '上海' AND o.status = 'paid'\nGROUP BY c.customer_id, c.customer_name\nORDER BY total_sales DESC;","SELECT c.customer_name, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE c.city = '上海' AND o.status = 'paid'\nGROUP BY c.customer_id, c.customer_name\nORDER BY total_sales DESC;"
q008,medium,direct_sql,True,True,False,288,364,256,652,7.482404200000019,287,execution result mismatch,"SELECT p.product_name, SUM(oi.quantity) AS total_quantity\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nJOIN orders o ON oi.order_id = o.order_id\nWHERE strftime('%Y', o.order_date) = '2025'\nGROUP BY p.product_id, p.product_name\nORDER BY total_quantity DESC\nLIMIT 3;","SELECT p.product_name, SUM(oi.quantity) AS total_quantity\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nJOIN orders o ON oi.order_id = o.order_id\nWHERE strftime('%Y', o.order_date) = '2025'\nGROUP BY p.product_id, p.product_name\nORDER BY total_quantity DESC\nLIMIT 3;"
q009,medium,direct_sql,True,True,True,293,233,128,526,4.063234599998395,217,,"SELECT c.city, COUNT(o.order_id) AS paid_order_count\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nWHERE o.status = 'paid'\nGROUP BY c.city\nHAVING COUNT(o.order_id) > 1\nORDER BY paid_order_count DESC;","SELECT c.city, COUNT(o.order_id) AS paid_order_count\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nWHERE o.status = 'paid'\nGROUP BY c.city\nHAVING COUNT(o.order_id) > 1\nORDER BY paid_order_count DESC;"
q010,medium,direct_sql,True,True,True,285,278,192,563,5.577432000001863,272,,SELECT DISTINCT c.customer_name\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nJOIN products p ON oi.product_id = p.product_id\nWHERE c.level = 'gold' AND p.category = 'computer'\nORDER BY c.customer_name ASC;,SELECT DISTINCT c.customer_name\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nJOIN products p ON oi.product_id = p.product_id\nWHERE c.level = 'gold' AND p.category = 'computer'\nORDER BY c.customer_name ASC;
